member_id,first_name,last_name,email,phone,date_of_birth,gender,join_date,membership_type,membership_status,fitness_goal,height_cm,weight_kg,emergency_contact
MEM000618,Thomas,Jones,member618@fitnesshub.com,+1-555-197-1962,1969-12-29,Male,2024-02-16,Elite,Active,Athletic Performance,195.4,119.8,+1-555-786-1745
MEM000619,Steven,Flores,member619@fitnesshub.com,+1-555-490-5956,1991-12-24,Female,2020-01-11,Elite,Active,Health Maintenance,152.1,62.6,+1-555-273-9253
MEM000620,Sandra,Rodriguez,member620@fitnesshub.com,+1-555-191-6198,1986-12-25,Other,2022-10-06,Senior,Active,Muscle Gain,163.0,71.9,+1-555-230-9179
MEM000621,Sarah,White,member621@fitnesshub.com,+1-555-540-5635,1955-01-02,Female,2024-11-20,Senior,Active,Health Maintenance,165.7,112.5,+1-555-423-9049
MEM000622,Emily,Lewis,member622@fitnesshub.com,+1-555-154-4095,1998-12-22,Male,2024-04-13,Basic,Active,Muscle Gain,151.8,68.2,+1-555-822-8653
MEM000623,Ashley,Williams,member623@fitnesshub.com,+1-555-552-6841,2000-12-21,Other,2022-06-12,Senior,Inactive,Athletic Performance,174.6,109.2,+1-555-987-3425
MEM000624,Jennifer,Wilson,member624@fitnesshub.com,+1-555-989-5654,1985-12-25,Male,2020-09-10,Premium,Inactive,General Fitness,178.2,96.4,+1-555-317-1067
MEM000625,Andrew,Lopez,member625@fitnesshub.com,+1-555-526-2258,1959-01-01,Male,2022-12-13,Student,Active,General Fitness,151.3,97.7,+1-555-796-2998
MEM000626,Donna,Miller,member626@fitnesshub.com,+1-555-957-6300,1984-12-25,Male,2022-03-18,Basic,Active,Athletic Performance,191.5,96.2,+1-555-564-5412
MEM000627,James,Perez,member627@fitnesshub.com,+1-555-144-8423,1965-12-30,Female,2023-05-01,Senior,Active,Muscle Gain,193.2,106.1,+1-555-389-6294
MEM000628,Deborah,Jones,member628@fitnesshub.com,+1-555-660-7248,2004-12-20,Male,2024-06-22,Student,Active,Muscle Gain,162.0,104.0,+1-555-508-2461
MEM000629,Susan,Hernandez,member629@fitnesshub.com,+1-555-497-7592,1954-01-02,Female,2020-02-12,Premium,Active,General Fitness,174.5,80.3,+1-555-925-6080
MEM000630,William,Thompson,member630@fitnesshub.com,+1-555-781-2574,1969-12-29,Female,2023-11-03,Senior,Active,Athletic Performance,172.3,77.2,+1-555-374-7931
MEM000631,Margaret,White,member631@fitnesshub.com,+1-555-728-4053,1960-01-01,Female,2020-07-03,Student,Active,Weight Loss,175.7,118.1,+1-555-792-4673
MEM000632,Melissa,Martinez,member632@fitnesshub.com,+1-555-607-9638,1964-12-30,Other,2023-08-19,Senior,Active,General Fitness,173.4,55.5,+1-555-920-8825
MEM000633,William,Martin,member633@fitnesshub.com,+1-555-961-5073,1998-12-22,Other,2021-09-07,Student,Active,Health Maintenance,152.4,55.4,+1-555-146-9411
MEM000634,Margaret,Clark,member634@fitnesshub.com,+1-555-196-8612,1975-12-28,Other,2020-08-08,Senior,Active,General Fitness,162.7,55.7,+1-555-615-1266
MEM000635,Brian,Robinson,member635@fitnesshub.com,+1-555-283-3985,1960-12-31,Female,2020-08-21,Basic,Active,Athletic Performance,193.8,70.8,+1-555-701-8454
MEM000636,Mark,Flores,member636@fitnesshub.com,+1-555-927-5342,1965-12-30,Female,2024-03-31,Premium,Active,Muscle Gain,153.9,118.8,+1-555-365-2742
MEM000637,Mary,Smith,member637@fitnesshub.com,+1-555-504-2911,1973-12-28,Male,2022-06-07,Premium,Inactive,Athletic Performance,184.6,110.8,+1-555-862-8974
MEM000638,Michelle,White,member638@fitnesshub.com,+1-555-807-7471,1968-12-29,Female,2021-09-12,Basic,Active,Muscle Gain,150.7,57.8,+1-555-116-4083
MEM000639,Susan,Walker,member639@fitnesshub.com,+1-555-764-3378,2006-12-20,Other,2024-10-25,Premium,Active,Health Maintenance,159.5,71.1,+1-555-574-3427
MEM000640,Mary,Davis,member640@fitnesshub.com,+1-555-270-3497,1980-12-26,Other,2022-08-28,Student,Inactive,Athletic Performance,151.0,81.5,+1-555-348-4298
MEM000641,Betty,Brown,member641@fitnesshub.com,+1-555-441-1129,1971-12-29,Male,2021-08-26,Student,Active,Athletic Performance,186.9,91.7,+1-555-667-5764
MEM000642,Betty,Young,member642@fitnesshub.com,+1-555-625-8993,1976-12-27,Male,2020-03-16,Basic,Inactive,Weight Loss,171.1,72.1,+1-555-165-5388
MEM000643,Donald,Davis,member643@fitnesshub.com,+1-555-606-6681,1981-12-26,Female,2023-08-20,Student,Active,Muscle Gain,164.4,63.5,+1-555-452-8178
MEM000644,Joseph,Nguyen,member644@fitnesshub.com,+1-555-801-6556,1975-12-28,Other,2021-04-20,Student,Active,General Fitness,186.1,77.3,+1-555-526-6902
MEM000645,David,Flores,member645@fitnesshub.com,+1-555-312-5627,1977-12-27,Other,2024-06-18,Basic,Inactive,Muscle Gain,158.7,60.9,+1-555-603-2653
MEM000646,Ashley,Martin,member646@fitnesshub.com,+1-555-340-4431,1981-12-26,Other,2024-06-13,Basic,Active,General Fitness,194.0,75.0,+1-555-262-3862
MEM000647,Steven,Williams,member647@fitnesshub.com,+1-555-926-2043,1953-01-02,Female,2024-08-22,Student,Active,Health Maintenance,161.3,89.3,+1-555-598-5224
MEM000648,Daniel,Williams,member648@fitnesshub.com,+1-555-888-5382,1958-01-01,Male,2021-11-27,Senior,Inactive,Weight Loss,185.3,114.9,+1-555-548-8489
MEM000649,Linda,Miller,member649@fitnesshub.com,+1-555-900-2669,1960-01-01,Other,2024-09-19,Basic,Inactive,Weight Loss,158.4,58.3,+1-555-310-6925
MEM000650,Charles,Lewis,member650@fitnesshub.com,+1-555-880-9288,1961-12-31,Female,2020-11-17,Basic,Active,General Fitness,166.7,59.6,+1-555-968-4307
MEM000651,James,Thomas,member651@fitnesshub.com,+1-555-954-8760,1981-12-26,Female,2022-06-18,Elite,Inactive,Muscle Gain,154.3,76.1,+1-555-872-7799
MEM000652,Brian,Thomas,member652@fitnesshub.com,+1-555-255-9677,1967-12-30,Female,2022-01-08,Premium,Active,Athletic Performance,170.7,78.7,+1-555-569-9456
MEM000653,Lisa,Johnson,member653@fitnesshub.com,+1-555-553-3385,1964-12-30,Male,2024-06-15,Senior,Active,Weight Loss,166.9,78.1,+1-555-890-3692
MEM000654,Betty,Williams,member654@fitnesshub.com,+1-555-776-3473,2004-12-20,Other,2022-06-07,Basic,Inactive,General Fitness,171.0,112.0,+1-555-817-5986
MEM000655,Christopher,Thompson,member655@fitnesshub.com,+1-555-108-5583,1960-12-31,Other,2024-01-17,Senior,Active,Athletic Performance,172.3,64.4,+1-555-657-8244
MEM000656,Carol,Sanchez,member656@fitnesshub.com,+1-555-894-4232,1985-12-25,Female,2023-11-29,Basic,Active,Health Maintenance,166.7,100.8,+1-555-857-3064
MEM000657,Charles,Wilson,member657@fitnesshub.com,+1-555-195-9383,1973-12-28,Other,2022-12-01,Elite,Inactive,General Fitness,187.9,61.2,+1-555-128-9846
MEM000658,Jessica,Martin,member658@fitnesshub.com,+1-555-843-7926,1991-12-24,Other,2023-04-28,Basic,Active,General Fitness,163.0,85.5,+1-555-226-1782
MEM000659,Linda,Lewis,member659@fitnesshub.com,+1-555-405-1085,1966-12-30,Female,2024-03-29,Elite,Active,Health Maintenance,178.3,112.6,+1-555-742-9737
MEM000660,Joseph,Thompson,member660@fitnesshub.com,+1-555-406-5661,1969-12-29,Other,2024-09-25,Senior,Active,Athletic Performance,176.0,67.3,+1-555-435-9461
MEM000661,Lisa,Robinson,member661@fitnesshub.com,+1-555-200-3401,1995-12-23,Other,2023-04-07,Student,Active,Weight Loss,154.6,79.7,+1-555-233-8802
MEM000662,Robert,White,member662@fitnesshub.com,+1-555-793-9622,1979-12-27,Female,2021-03-15,Senior,Inactive,Health Maintenance,188.9,111.0,+1-555-698-9172
MEM000663,Mark,Young,member663@fitnesshub.com,+1-555-849-7830,1980-12-26,Male,2023-07-27,Premium,Inactive,Muscle Gain,174.2,82.0,+1-555-821-9408
MEM000664,Linda,Wilson,member664@fitnesshub.com,+1-555-566-8755,1974-12-28,Male,2024-11-02,Premium,Inactive,General Fitness,196.1,58.3,+1-555-972-7694
MEM000665,Lisa,Torres,member665@fitnesshub.com,+1-555-396-1659,2000-12-21,Other,2020-08-13,Premium,Active,General Fitness,165.2,76.2,+1-555-401-8961
MEM000666,Barbara,Martinez,member666@fitnesshub.com,+1-555-902-7910,1958-01-01,Male,2020-02-27,Elite,Active,Muscle Gain,159.2,101.8,+1-555-102-3004
MEM000667,Robert,Williams,member667@fitnesshub.com,+1-555-527-8883,1985-12-25,Other,2023-01-26,Elite,Inactive,Athletic Performance,195.0,104.7,+1-555-586-3175
MEM000668,Steven,Robinson,member668@fitnesshub.com,+1-555-879-8371,1999-12-22,Other,2024-04-09,Student,Active,General Fitness,154.5,93.7,+1-555-738-7711
MEM000669,Betty,Perez,member669@fitnesshub.com,+1-555-653-1750,1993-12-23,Other,2022-03-04,Student,Active,Weight Loss,193.3,99.5,+1-555-685-6060
MEM000670,Linda,Scott,member670@fitnesshub.com,+1-555-187-4152,1966-12-30,Other,2023-02-23,Senior,Inactive,Weight Loss,197.9,86.5,+1-555-868-8796
MEM000671,Mary,Davis,member671@fitnesshub.com,+1-555-774-9713,1951-01-03,Male,2022-10-26,Basic,Active,Muscle Gain,162.3,99.4,+1-555-693-8278
MEM000672,Paul,Hill,member672@fitnesshub.com,+1-555-428-7583,1957-01-01,Other,2020-06-22,Basic,Inactive,Weight Loss,167.0,62.6,+1-555-124-9649
MEM000673,Thomas,Garcia,member673@fitnesshub.com,+1-555-217-2627,1983-12-26,Other,2021-10-11,Premium,Active,Muscle Gain,159.1,103.8,+1-555-257-6026
MEM000674,David,Brown,member674@fitnesshub.com,+1-555-729-6329,1964-12-30,Male,2022-04-14,Basic,Active,General Fitness,169.5,72.4,+1-555-522-6311
MEM000675,Linda,Brown,member675@fitnesshub.com,+1-555-307-4925,1983-12-26,Other,2021-06-12,Senior,Active,Athletic Performance,175.4,85.3,+1-555-217-5412
MEM000676,Sandra,Scott,member676@fitnesshub.com,+1-555-516-2072,1987-12-25,Female,2020-05-04,Basic,Active,Muscle Gain,195.7,51.3,+1-555-667-2663
MEM000677,Emily,Rodriguez,member677@fitnesshub.com,+1-555-411-7664,1960-01-01,Female,2021-05-19,Basic,Inactive,Muscle Gain,189.1,60.0,+1-555-653-3755
MEM000678,Paul,Ramirez,member678@fitnesshub.com,+1-555-668-8401,1992-12-23,Male,2024-05-20,Basic,Inactive,Health Maintenance,164.5,118.0,+1-555-100-1985
MEM000679,Joshua,Taylor,member679@fitnesshub.com,+1-555-959-7228,1990-12-24,Female,2022-09-14,Premium,Inactive,Health Maintenance,164.1,61.3,+1-555-646-2145
MEM000680,Betty,Davis,member680@fitnesshub.com,+1-555-950-3288,2002-12-21,Other,2021-09-07,Senior,Active,Athletic Performance,160.5,85.3,+1-555-921-6215
MEM000681,Kevin,Taylor,member681@fitnesshub.com,+1-555-870-8417,1986-12-25,Female,2023-10-28,Premium,Active,General Fitness,160.5,117.1,+1-555-436-1260
MEM000682,Carol,Smith,member682@fitnesshub.com,+1-555-723-8807,1999-12-22,Male,2023-11-17,Basic,Active,Athletic Performance,177.8,98.8,+1-555-600-7435
MEM000683,Carol,Jones,member683@fitnesshub.com,+1-555-651-1507,2002-12-21,Other,2023-01-07,Student,Active,General Fitness,198.6,76.3,+1-555-715-6864
MEM000684,George,Smith,member684@fitnesshub.com,+1-555-227-8580,1996-12-22,Female,2022-03-03,Premium,Inactive,Weight Loss,161.1,51.4,+1-555-387-6862
MEM000685,Michelle,Martin,member685@fitnesshub.com,+1-555-927-4623,2002-12-21,Male,2021-01-27,Student,Active,Weight Loss,164.0,113.3,+1-555-823-4425
MEM000686,Kevin,Sanchez,member686@fitnesshub.com,+1-555-213-5544,1995-12-23,Other,2020-01-15,Senior,Inactive,Muscle Gain,177.6,96.2,+1-555-679-3875
MEM000687,William,Jones,member687@fitnesshub.com,+1-555-230-5253,1970-12-29,Other,2020-05-13,Premium,Inactive,General Fitness,159.6,97.5,+1-555-809-9731
MEM000688,Amanda,Scott,member688@fitnesshub.com,+1-555-564-1032,1991-12-24,Female,2023-06-12,Basic,Active,Athletic Performance,192.2,78.5,+1-555-224-9491
MEM000689,Lisa,King,member689@fitnesshub.com,+1-555-877-1712,1976-12-27,Other,2022-08-13,Premium,Active,General Fitness,195.9,87.3,+1-555-423-1084
MEM000690,Nancy,Garcia,member690@fitnesshub.com,+1-555-685-1415,1995-12-23,Other,2022-03-13,Premium,Active,Weight Loss,195.8,63.8,+1-555-437-6092
MEM000691,Kevin,Miller,member691@fitnesshub.com,+1-555-128-8863,1967-12-30,Female,2020-05-08,Basic,Inactive,General Fitness,192.0,67.3,+1-555-584-4905
MEM000692,Patricia,Perez,member692@fitnesshub.com,+1-555-632-4878,1955-01-02,Male,2021-11-28,Senior,Inactive,Athletic Performance,188.2,93.8,+1-555-692-3045
MEM000693,John,Harris,member693@fitnesshub.com,+1-555-420-2065,2004-12-20,Male,2020-06-24,Basic,Inactive,Weight Loss,165.1,93.8,+1-555-167-2668
MEM000694,Emily,Brown,member694@fitnesshub.com,+1-555-401-7249,2004-12-20,Female,2023-10-19,Basic,Inactive,Athletic Performance,161.7,92.0,+1-555-775-1173
MEM000695,Sandra,Ramirez,member695@fitnesshub.com,+1-555-735-2659,1983-12-26,Female,2022-07-17,Basic,Inactive,Health Maintenance,166.4,63.5,+1-555-205-1201
MEM000696,Robert,Nguyen,member696@fitnesshub.com,+1-555-908-4172,1962-12-31,Other,2023-05-03,Premium,Inactive,General Fitness,167.8,83.7,+1-555-735-8284
MEM000697,William,Williams,member697@fitnesshub.com,+1-555-161-3091,1992-12-23,Female,2021-01-15,Senior,Active,Health Maintenance,198.0,102.8,+1-555-418-9866
MEM000698,Barbara,Walker,member698@fitnesshub.com,+1-555-416-6618,1998-12-22,Female,2024-05-07,Elite,Active,Health Maintenance,179.3,97.5,+1-555-158-4889
MEM000699,Emily,Brown,member699@fitnesshub.com,+1-555-532-6633,1956-01-02,Male,2022-11-04,Premium,Active,Weight Loss,167.1,96.8,+1-555-811-8657
MEM000700,Nancy,Nguyen,member700@fitnesshub.com,+1-555-679-6499,1963-12-31,Other,2023-05-13,Elite,Active,General Fitness,158.1,81.8,+1-555-908-1691
MEM000701,James,Anderson,member701@fitnesshub.com,+1-555-809-4772,1993-12-23,Female,2022-10-12,Senior,Active,Muscle Gain,174.0,103.8,+1-555-934-6431
MEM000702,Matthew,Wilson,member702@fitnesshub.com,+1-555-509-4018,1960-12-31,Male,2024-07-11,Elite,Active,Weight Loss,167.9,88.8,+1-555-245-5760
MEM000703,Kevin,Nguyen,member703@fitnesshub.com,+1-555-883-6896,1995-12-23,Male,2022-06-20,Basic,Active,Muscle Gain,164.2,65.3,+1-555-368-3855
MEM000704,Emily,Thomas,member704@fitnesshub.com,+1-555-282-4211,1954-01-02,Male,2021-11-26,Premium,Active,Weight Loss,151.0,97.4,+1-555-488-2818
MEM000705,Karen,Robinson,member705@fitnesshub.com,+1-555-345-7056,1994-12-23,Female,2021-11-24,Premium,Inactive,Health Maintenance,194.1,111.5,+1-555-166-2941
MEM000706,William,Gonzalez,member706@fitnesshub.com,+1-555-296-9725,1952-01-03,Female,2020-10-22,Elite,Active,Health Maintenance,171.5,94.5,+1-555-147-4098
MEM000707,Charles,Martinez,member707@fitnesshub.com,+1-555-435-5049,1973-12-28,Male,2024-10-15,Elite,Active,Health Maintenance,198.4,112.0,+1-555-314-2333
MEM000708,Brian,Flores,member708@fitnesshub.com,+1-555-166-3743,1977-12-27,Other,2024-05-25,Student,Inactive,General Fitness,174.9,82.5,+1-555-429-7125
MEM000709,Donald,Young,member709@fitnesshub.com,+1-555-585-5396,1963-12-31,Other,2022-12-12,Student,Inactive,Weight Loss,160.4,112.6,+1-555-562-4840
MEM000710,Karen,Ramirez,member710@fitnesshub.com,+1-555-486-3575,1994-12-23,Female,2022-03-21,Elite,Inactive,Weight Loss,156.7,55.9,+1-555-555-9500
MEM000711,Donna,Williams,member711@fitnesshub.com,+1-555-576-9392,1993-12-23,Other,2021-12-21,Elite,Active,Athletic Performance,173.4,78.6,+1-555-923-9151
MEM000712,Matthew,Johnson,member712@fitnesshub.com,+1-555-283-8236,1990-12-24,Male,2021-10-11,Elite,Active,General Fitness,195.1,70.6,+1-555-613-9401
MEM000713,Jennifer,Moore,member713@fitnesshub.com,+1-555-333-2612,1966-12-30,Male,2023-01-24,Basic,Active,Weight Loss,177.3,73.4,+1-555-791-6394
MEM000714,Deborah,Moore,member714@fitnesshub.com,+1-555-295-3258,1988-12-24,Other,2021-05-27,Senior,Active,Weight Loss,188.5,69.7,+1-555-454-7616
MEM000715,Donna,Smith,member715@fitnesshub.com,+1-555-583-9399,1956-01-02,Male,2022-04-10,Student,Active,Muscle Gain,186.2,64.7,+1-555-339-9451
MEM000716,Emily,Robinson,member716@fitnesshub.com,+1-555-839-8559,1958-01-01,Female,2023-04-17,Basic,Active,Muscle Gain,171.4,115.9,+1-555-527-4433
MEM000717,Emily,Johnson,member717@fitnesshub.com,+1-555-483-3276,1979-12-27,Other,2022-06-17,Premium,Active,Weight Loss,175.0,96.1,+1-555-463-6567
MEM000718,Margaret,Sanchez,member718@fitnesshub.com,+1-555-881-9808,1981-12-26,Female,2021-04-06,Elite,Inactive,Weight Loss,178.4,52.3,+1-555-242-3518
MEM000719,Kevin,Hill,member719@fitnesshub.com,+1-555-722-7404,1971-12-29,Female,2021-11-07,Premium,Active,Weight Loss,176.7,63.2,+1-555-211-6387
MEM000720,Kevin,Martin,member720@fitnesshub.com,+1-555-195-3808,1979-12-27,Male,2023-03-12,Senior,Active,Weight Loss,191.3,92.2,+1-555-127-4058
MEM000721,Matthew,Jackson,member721@fitnesshub.com,+1-555-310-4818,2003-12-21,Female,2021-02-11,Senior,Active,Athletic Performance,152.9,86.3,+1-555-275-6353
MEM000722,Betty,Hernandez,member722@fitnesshub.com,+1-555-213-3115,1981-12-26,Other,2024-10-26,Student,Inactive,Weight Loss,169.4,113.3,+1-555-311-3128
MEM000723,Karen,Ramirez,member723@fitnesshub.com,+1-555-937-8778,1994-12-23,Male,2024-11-17,Senior,Inactive,General Fitness,179.4,85.2,+1-555-801-8519
MEM000724,James,Martinez,member724@fitnesshub.com,+1-555-556-2048,1995-12-23,Female,2021-07-18,Senior,Active,Health Maintenance,166.4,89.8,+1-555-602-8539
MEM000725,John,Garcia,member725@fitnesshub.com,+1-555-394-8476,1971-12-29,Female,2022-08-05,Elite,Active,Health Maintenance,191.2,109.5,+1-555-525-5081
MEM000726,Michelle,Ramirez,member726@fitnesshub.com,+1-555-568-7302,1951-01-03,Other,2021-01-02,Premium,Inactive,Weight Loss,169.7,116.2,+1-555-345-3587
MEM000727,Kevin,Wright,member727@fitnesshub.com,+1-555-398-2093,1952-01-03,Other,2021-07-14,Premium,Inactive,Athletic Performance,199.6,88.7,+1-555-477-2253
MEM000728,Steven,Lee,member728@fitnesshub.com,+1-555-519-8388,2001-12-21,Male,2024-03-27,Elite,Active,Health Maintenance,152.2,51.9,+1-555-754-8567
MEM000729,Deborah,Sanchez,member729@fitnesshub.com,+1-555-976-4185,1986-12-25,Female,2022-02-19,Basic,Active,General Fitness,155.7,114.2,+1-555-434-8606
MEM000730,Robert,Garcia,member730@fitnesshub.com,+1-555-661-4969,1978-12-27,Other,2022-09-19,Student,Active,Athletic Performance,191.0,108.9,+1-555-274-1295
MEM000731,Elizabeth,Jackson,member731@fitnesshub.com,+1-555-227-9759,2001-12-21,Other,2023-05-28,Student,Active,Weight Loss,183.6,50.8,+1-555-379-3514
MEM000732,Elizabeth,Wilson,member732@fitnesshub.com,+1-555-831-1564,1985-12-25,Other,2022-06-21,Senior,Active,Athletic Performance,184.8,108.6,+1-555-930-9566
MEM000733,Melissa,Miller,member733@fitnesshub.com,+1-555-499-6051,1965-12-30,Female,2023-08-05,Basic,Inactive,Weight Loss,152.4,76.4,+1-555-306-5091
MEM000734,Richard,Garcia,member734@fitnesshub.com,+1-555-116-7908,1992-12-23,Male,2022-02-06,Basic,Active,Muscle Gain,184.0,54.4,+1-555-198-3750
MEM000735,John,Clark,member735@fitnesshub.com,+1-555-624-2764,1997-12-22,Female,2024-01-22,Elite,Inactive,Muscle Gain,181.2,115.4,+1-555-504-8010
MEM000736,Susan,Miller,member736@fitnesshub.com,+1-555-465-6298,1993-12-23,Male,2020-09-04,Basic,Active,General Fitness,150.6,64.9,+1-555-325-2081
MEM000737,Sarah,Flores,member737@fitnesshub.com,+1-555-477-1719,1956-01-02,Male,2023-09-09,Premium,Active,General Fitness,188.4,85.0,+1-555-204-9784
MEM000738,Andrew,Hernandez,member738@fitnesshub.com,+1-555-357-2552,1954-01-02,Other,2024-06-08,Elite,Active,Muscle Gain,166.6,94.5,+1-555-804-6209
MEM000739,Donald,Jones,member739@fitnesshub.com,+1-555-443-1289,1965-12-30,Other,2024-10-09,Senior,Inactive,Athletic Performance,175.6,101.9,+1-555-615-1217
MEM000740,Michelle,Davis,member740@fitnesshub.com,+1-555-416-4873,2006-12-20,Other,2021-04-21,Student,Active,Health Maintenance,154.0,59.6,+1-555-610-5859
MEM000741,Matthew,Wilson,member741@fitnesshub.com,+1-555-757-1621,1998-12-22,Male,2021-02-17,Senior,Inactive,General Fitness,156.7,72.2,+1-555-905-1648
MEM000742,Anthony,Jackson,member742@fitnesshub.com,+1-555-868-1388,1958-01-01,Male,2022-12-02,Elite,Active,Muscle Gain,160.3,53.8,+1-555-780-5068
MEM000743,George,Anderson,member743@fitnesshub.com,+1-555-722-7250,1964-12-30,Other,2024-06-29,Elite,Active,Athletic Performance,181.5,54.5,+1-555-603-2146
MEM000744,Kevin,Martinez,member744@fitnesshub.com,+1-555-309-3057,2004-12-20,Male,2021-01-29,Premium,Inactive,Health Maintenance,191.6,115.2,+1-555-341-9313
MEM000745,Edward,Robinson,member745@fitnesshub.com,+1-555-418-3689,1980-12-26,Other,2020-06-09,Premium,Active,Athletic Performance,158.8,67.4,+1-555-392-8344
MEM000746,Sarah,Walker,member746@fitnesshub.com,+1-555-181-6891,1995-12-23,Female,2023-07-25,Student,Active,Athletic Performance,172.1,85.4,+1-555-852-8101
MEM000747,Donald,Johnson,member747@fitnesshub.com,+1-555-880-7249,1998-12-22,Female,2024-04-06,Basic,Active,Health Maintenance,176.9,88.7,+1-555-279-5215
MEM000748,Karen,Robinson,member748@fitnesshub.com,+1-555-390-7146,1978-12-27,Other,2022-02-18,Senior,Inactive,Weight Loss,166.7,100.0,+1-555-300-3535
MEM000749,James,Allen,member749@fitnesshub.com,+1-555-847-7131,2007-12-20,Female,2021-01-23,Student,Active,Athletic Performance,198.5,76.1,+1-555-601-6043
MEM000750,Robert,Clark,member750@fitnesshub.com,+1-555-139-3039,1970-12-29,Female,2023-08-05,Senior,Active,Muscle Gain,188.1,117.0,+1-555-889-6711
MEM000751,Ashley,White,member751@fitnesshub.com,+1-555-813-1945,1962-12-31,Other,2022-11-09,Student,Active,Muscle Gain,162.1,52.4,+1-555-932-6921
MEM000752,Amanda,Johnson,member752@fitnesshub.com,+1-555-814-3422,1962-12-31,Female,2023-07-16,Senior,Inactive,Muscle Gain,162.7,92.2,+1-555-778-3644
MEM000753,Jennifer,Harris,member753@fitnesshub.com,+1-555-507-2316,2000-12-21,Other,2020-01-26,Premium,Active,Muscle Gain,191.5,67.7,+1-555-409-9202
MEM000754,Matthew,Nguyen,member754@fitnesshub.com,+1-555-415-7743,1965-12-30,Other,2022-12-27,Basic,Active,Health Maintenance,188.8,74.1,+1-555-246-5407
MEM000755,Deborah,Sanchez,member755@fitnesshub.com,+1-555-815-6047,1994-12-23,Male,2024-03-13,Premium,Inactive,Weight Loss,154.8,104.2,+1-555-527-9600
MEM000756,Charles,Ramirez,member756@fitnesshub.com,+1-555-274-3890,1966-12-30,Female,2022-05-03,Premium,Active,Muscle Gain,174.3,85.2,+1-555-212-8383
MEM000757,Susan,Lopez,member757@fitnesshub.com,+1-555-305-1966,1956-01-02,Other,2023-03-07,Premium,Active,General Fitness,199.1,111.0,+1-555-551-2789
MEM000758,David,Garcia,member758@fitnesshub.com,+1-555-400-2404,1967-12-30,Female,2024-11-13,Basic,Active,Weight Loss,167.1,91.0,+1-555-589-8949
MEM000759,Michael,Smith,member759@fitnesshub.com,+1-555-162-5359,1960-01-01,Male,2023-10-09,Senior,Active,Weight Loss,160.6,105.4,+1-555-484-9520
MEM000760,Ashley,Walker,member760@fitnesshub.com,+1-555-875-6521,1990-12-24,Other,2024-04-08,Student,Active,General Fitness,184.1,74.0,+1-555-422-4925
MEM000761,Betty,Harris,member761@fitnesshub.com,+1-555-725-1937,1965-12-30,Female,2022-01-09,Elite,Active,Weight Loss,172.8,98.9,+1-555-842-3275
MEM000762,Linda,King,member762@fitnesshub.com,+1-555-386-5072,1969-12-29,Female,2020-02-22,Student,Inactive,Athletic Performance,175.7,96.2,+1-555-103-6278
MEM000763,Lisa,Williams,member763@fitnesshub.com,+1-555-926-6333,1967-12-30,Other,2020-02-04,Student,Active,Health Maintenance,174.2,101.7,+1-555-913-2333
MEM000764,Donald,Miller,member764@fitnesshub.com,+1-555-851-7305,1980-12-26,Female,2021-12-14,Senior,Active,Muscle Gain,193.5,111.3,+1-555-903-9267
MEM000765,Ashley,Garcia,member765@fitnesshub.com,+1-555-408-9990,1999-12-22,Female,2020-03-06,Premium,Inactive,Weight Loss,174.1,87.8,+1-555-349-4467
MEM000766,Brian,Garcia,member766@fitnesshub.com,+1-555-208-8125,1960-01-01,Other,2020-12-15,Basic,Active,General Fitness,195.1,103.6,+1-555-325-5220
MEM000767,Brian,Davis,member767@fitnesshub.com,+1-555-781-3224,1977-12-27,Other,2023-09-25,Student,Active,General Fitness,193.6,115.2,+1-555-884-2059
MEM000768,Matthew,Harris,member768@fitnesshub.com,+1-555-769-8159,1986-12-25,Male,2023-08-11,Premium,Active,Weight Loss,164.5,57.8,+1-555-448-4082
MEM000769,Andrew,White,member769@fitnesshub.com,+1-555-230-6134,2000-12-21,Female,2024-03-04,Senior,Active,General Fitness,153.1,87.5,+1-555-967-7359
MEM000770,Lisa,Rodriguez,member770@fitnesshub.com,+1-555-632-4639,1987-12-25,Male,2022-05-17,Student,Active,Health Maintenance,192.6,72.1,+1-555-935-5863
MEM000771,Ashley,Robinson,member771@fitnesshub.com,+1-555-250-5643,1993-12-23,Male,2024-09-10,Basic,Inactive,General Fitness,165.4,119.3,+1-555-226-5480
MEM000772,Andrew,Walker,member772@fitnesshub.com,+1-555-746-4534,1962-12-31,Female,2024-10-02,Elite,Active,Weight Loss,199.1,73.3,+1-555-947-4450
MEM000773,Joseph,Brown,member773@fitnesshub.com,+1-555-986-3933,1961-12-31,Female,2024-10-02,Student,Active,Muscle Gain,199.6,88.4,+1-555-445-7921
MEM000774,Daniel,Sanchez,member774@fitnesshub.com,+1-555-500-2176,1977-12-27,Other,2023-10-20,Elite,Active,Muscle Gain,185.1,88.4,+1-555-199-3144
MEM000775,Donna,Brown,member775@fitnesshub.com,+1-555-970-5981,1960-01-01,Female,2021-10-24,Premium,Inactive,Muscle Gain,172.1,83.8,+1-555-248-4436
MEM000776,Deborah,Gonzalez,member776@fitnesshub.com,+1-555-852-1149,1957-01-01,Female,2021-03-22,Senior,Active,Muscle Gain,168.8,118.8,+1-555-795-3756
MEM000777,Daniel,Walker,member777@fitnesshub.com,+1-555-283-1859,2001-12-21,Male,2020-04-25,Senior,Active,Health Maintenance,171.7,60.4,+1-555-839-7619
